date,close
2016-02-09,94.99
2016-02-10,94.27
2016-02-10,94.27
2016-02-10,94.27
2016-02-10,94.27
2016-02-11,93.7
2016-02-11,93.7
2016-02-11,93.7
2016-02-11,93.7
2016-02-12,93.99
2016-02-12,93.99
2016-02-12,93.99
2016-02-12,93.99
2016-02-16,96.64
2016-02-16,96.64
2016-02-16,96.64
2016-02-16,96.64
2016-02-17,98.12
2016-02-17,98.12
2016-02-17,98.12
2016-02-17,98.12
2016-02-18,96.26
2016-02-18,96.26
2016-02-18,96.26
2016-02-18,96.26
2016-02-19,96.04
2016-02-19,96.04
2016-02-19,96.04
2016-02-19,96.04
2016-02-22,96.88
2016-02-22,96.88
2016-02-22,96.88
2016-02-22,96.88
2016-02-23,94.69
2016-02-23,94.69
2016-02-23,94.69
2016-02-23,94.69
2016-02-24,96.1
2016-02-24,96.1
2016-02-24,96.1
2016-02-24,96.1
2016-02-25,96.76
2016-02-25,96.76
2016-02-25,96.76
2016-02-25,96.76
2016-02-26,96.91
2016-02-26,96.91
2016-02-26,96.91
2016-02-26,96.91
2016-02-29,96.69
2016-02-29,96.69
2016-02-29,96.69
2016-02-29,96.69
2016-03-01,100.53
2016-03-01,100.53
2016-03-01,100.53
2016-03-01,100.53
2016-03-02,100.75
2016-03-02,100.75
2016-03-02,100.75
2016-03-02,100.75
2016-03-03,101.5
2016-03-03,101.5
2016-03-03,101.5
2016-03-03,101.5
2016-03-04,103.01
2016-03-04,103.01
2016-03-04,103.01
2016-03-04,103.01
2016-03-07,101.87
2016-03-07,101.87
2016-03-07,101.87
2016-03-07,101.87
2016-03-08,101.03
2016-03-08,101.03
2016-03-08,101.03
2016-03-08,101.03
2016-03-09,101.12
2016-03-09,101.12
2016-03-09,101.12
2016-03-09,101.12
2016-03-10,101.17
2016-03-10,101.17
2016-03-10,101.17
2016-03-10,101.17
2016-03-11,102.26
2016-03-11,102.26
2016-03-11,102.26
2016-03-11,102.26
2016-03-14,102.52
2016-03-14,102.52
2016-03-14,102.52
2016-03-14,102.52
2016-03-15,104.58
2016-03-15,104.58
2016-03-15,104.58
2016-03-15,104.58
2016-03-16,105.97
2016-03-16,105.97
2016-03-16,105.97
2016-03-16,105.97
2016-03-17,105.8
2016-03-17,105.8
2016-03-17,105.8
2016-03-17,105.8
2016-03-18,105.92
2016-03-18,105.92
2016-03-18,105.92
2016-03-18,105.92
2016-03-21,105.91
2016-03-21,105.91
2016-03-21,105.91
2016-03-21,105.91
2016-03-22,106.72
2016-03-22,106.72
2016-03-22,106.72
2016-03-22,106.72
2016-03-23,106.13
2016-03-23,106.13
2016-03-23,106.13
2016-03-23,106.13
2016-03-24,105.67
2016-03-24,105.67
2016-03-24,105.67
2016-03-24,105.67
2016-03-28,105.19
2016-03-28,105.19
2016-03-28,105.19
2016-03-28,105.19
2016-03-29,107.68
2016-03-29,107.68
2016-03-29,107.68
2016-03-29,107.68
2016-03-30,109.56
2016-03-30,109.56
2016-03-30,109.56
2016-03-30,109.56
2016-03-31,108.99
2016-03-31,108.99
2016-03-31,108.99
2016-03-31,108.99
2016-04-01,109.99
2016-04-01,109.99
2016-04-01,109.99
2016-04-01,109.99
2016-04-04,111.12
2016-04-04,111.12
2016-04-04,111.12
2016-04-04,111.12
2016-04-05,109.81
2016-04-05,109.81
2016-04-05,109.81
2016-04-05,109.81
2016-04-06,110.96
2016-04-06,110.96
2016-04-06,110.96
2016-04-06,110.96
2016-04-07,108.54
2016-04-07,108.54
2016-04-07,108.54
2016-04-07,108.54
2016-04-08,108.66
2016-04-08,108.66
2016-04-08,108.66
2016-04-08,108.66
2016-04-11,109.02
2016-04-11,109.02
2016-04-11,109.02
2016-04-11,109.02
2016-04-12,110.44
2016-04-12,110.44
2016-04-12,110.44
2016-04-12,110.44
2016-04-13,112.04
2016-04-13,112.04
2016-04-13,112.04
2016-04-13,112.04
2016-04-14,112.1
2016-04-14,112.1
2016-04-14,112.1
2016-04-14,112.1
2016-04-15,109.85
2016-04-15,109.85
2016-04-15,109.85
2016-04-15,109.85
2016-04-18,107.48
2016-04-18,107.48
2016-04-18,107.48
2016-04-18,107.48
2016-04-19,106.91
2016-04-19,106.91
2016-04-19,106.91
2016-04-19,106.91
2016-04-20,107.13
2016-04-20,107.13
2016-04-20,107.13
2016-04-20,107.13
2016-04-21,105.97
2016-04-21,105.97
2016-04-21,105.97
2016-04-21,105.97
2016-04-22,105.68
2016-04-22,105.68
2016-04-22,105.68
2016-04-22,105.68
2016-04-25,105.08
2016-04-25,105.08
2016-04-25,105.08
2016-04-25,105.08
2016-04-26,104.35
2016-04-26,104.35
2016-04-26,104.35
2016-04-26,104.35
2016-04-27,97.82
2016-04-27,97.82
2016-04-27,97.82
2016-04-27,97.82
2016-04-28,94.83
2016-04-28,94.83
2016-04-28,94.83
2016-04-28,94.83
2016-04-29,93.74
2016-04-29,93.74
2016-04-29,93.74
2016-04-29,93.74
2016-05-02,93.64
2016-05-02,93.64
2016-05-02,93.64
2016-05-02,93.64
2016-05-03,95.18
2016-05-03,95.18
2016-05-03,95.18
2016-05-03,95.18
2016-05-04,94.19
2016-05-04,94.19
2016-05-04,94.19
2016-05-04,94.19
2016-05-05,93.24
2016-05-05,93.24
2016-05-05,93.24
2016-05-05,93.24
2016-05-06,92.72
2016-05-06,92.72
2016-05-06,92.72
2016-05-06,92.72
2016-05-09,92.79
2016-05-09,92.79
2016-05-09,92.79
2016-05-09,92.79
2016-05-10,93.42
2016-05-10,93.42
2016-05-10,93.42
2016-05-10,93.42
2016-05-11,92.51
2016-05-11,92.51
2016-05-11,92.51
2016-05-11,92.51
2016-05-12,90.34
2016-05-12,90.34
2016-05-12,90.34
2016-05-12,90.34
2016-05-13,90.52
2016-05-13,90.52
2016-05-13,90.52
2016-05-13,90.52
2016-05-16,93.88
2016-05-16,93.88
2016-05-16,93.88
2016-05-16,93.88
2016-05-17,93.49
2016-05-17,93.49
2016-05-17,93.49
2016-05-17,93.49
2016-05-18,94.56
2016-05-18,94.56
2016-05-18,94.56
2016-05-18,94.56
2016-05-19,94.2
2016-05-19,94.2
2016-05-19,94.2
2016-05-19,94.2
2016-05-20,95.22
2016-05-20,95.22
2016-05-20,95.22
2016-05-20,95.22
2016-05-23,96.43
2016-05-23,96.43
2016-05-23,96.43
2016-05-23,96.43
2016-05-24,97.9
2016-05-24,97.9
2016-05-24,97.9
2016-05-24,97.9
2016-05-25,99.62
2016-05-25,99.62
2016-05-25,99.62
2016-05-25,99.62
2016-05-26,100.41
2016-05-26,100.41
2016-05-26,100.41
2016-05-26,100.41
2016-05-27,100.35
2016-05-27,100.35
2016-05-27,100.35
2016-05-27,100.35
2016-05-31,99.86
2016-05-31,99.86
2016-05-31,99.86
2016-05-31,99.86
2016-06-01,98.46
2016-06-01,98.46
2016-06-01,98.46
2016-06-01,98.46
2016-06-02,97.72
2016-06-02,97.72
2016-06-02,97.72
2016-06-02,97.72
2016-06-03,97.92
2016-06-03,97.92
2016-06-03,97.92
2016-06-03,97.92
2016-06-06,98.63
2016-06-06,98.63
2016-06-06,98.63
2016-06-06,98.63
2016-06-07,99.03
2016-06-07,99.03
2016-06-07,99.03
2016-06-07,99.03
2016-06-08,98.94
2016-06-08,98.94
2016-06-08,98.94
2016-06-08,98.94
2016-06-09,99.65
2016-06-09,99.65
2016-06-09,99.65
2016-06-09,99.65
2016-06-10,98.83
2016-06-10,98.83
2016-06-10,98.83
2016-06-10,98.83
2016-06-13,97.34
2016-06-13,97.34
2016-06-13,97.34
2016-06-13,97.34
2016-06-14,97.46
2016-06-14,97.46
2016-06-14,97.46
2016-06-14,97.46
2016-06-15,97.14
2016-06-15,97.14
2016-06-15,97.14
2016-06-15,97.14
2016-06-16,97.55
2016-06-16,97.55
2016-06-16,97.55
2016-06-16,97.55
2016-06-17,95.33
2016-06-17,95.33
2016-06-17,95.33
2016-06-17,95.33
2016-06-20,95.1
2016-06-20,95.1
2016-06-20,95.1
2016-06-20,95.1
2016-06-21,95.91
2016-06-21,95.91
2016-06-21,95.91
2016-06-21,95.91
2016-06-22,95.55
2016-06-22,95.55
2016-06-22,95.55
2016-06-22,95.55
2016-06-23,96.1
2016-06-23,96.1
2016-06-23,96.1
2016-06-23,96.1
2016-06-24,93.4
2016-06-24,93.4
2016-06-24,93.4
2016-06-24,93.4
2016-06-27,92.04
2016-06-27,92.04
2016-06-27,92.04
2016-06-27,92.04
2016-06-28,93.59
2016-06-28,93.59
2016-06-28,93.59
2016-06-28,93.59
2016-06-29,94.4
2016-06-29,94.4
2016-06-29,94.4
2016-06-29,94.4
2016-06-30,95.6
2016-06-30,95.6
2016-06-30,95.6
2016-06-30,95.6
2016-07-01,95.89
2016-07-01,95.89
2016-07-01,95.89
2016-07-01,95.89
2016-07-05,94.99
2016-07-05,94.99
2016-07-05,94.99
2016-07-05,94.99
2016-07-06,95.53
2016-07-06,95.53
2016-07-06,95.53
2016-07-06,95.53
2016-07-07,95.94
2016-07-07,95.94
2016-07-07,95.94
2016-07-07,95.94
2016-07-08,96.68
2016-07-08,96.68
2016-07-08,96.68
2016-07-08,96.68
2016-07-11,96.98
2016-07-11,96.98
2016-07-11,96.98
2016-07-11,96.98
2016-07-12,97.42
2016-07-12,97.42
2016-07-12,97.42
2016-07-12,97.42
2016-07-13,96.87
2016-07-13,96.87
2016-07-13,96.87
2016-07-13,96.87
2016-07-14,98.79
2016-07-14,98.79
2016-07-14,98.79
2016-07-14,98.79
2016-07-15,98.78
2016-07-15,98.78
2016-07-15,98.78
2016-07-15,98.78
2016-07-18,99.83
2016-07-18,99.83
2016-07-18,99.83
2016-07-18,99.83
2016-07-19,99.87
2016-07-19,99.87
2016-07-19,99.87
2016-07-19,99.87
2016-07-20,99.96
2016-07-20,99.96
2016-07-20,99.96
2016-07-20,99.96
2016-07-21,99.43
2016-07-21,99.43
2016-07-21,99.43
2016-07-21,99.43
2016-07-22,98.66
2016-07-22,98.66
2016-07-22,98.66
2016-07-22,98.66
2016-07-25,97.34
2016-07-25,97.34
2016-07-25,97.34
2016-07-25,97.34
2016-07-26,96.67
2016-07-26,96.67
2016-07-26,96.67
2016-07-26,96.67
2016-07-27,102.95
2016-07-27,102.95
2016-07-27,102.95
2016-07-27,102.95
2016-07-28,104.34
2016-07-28,104.34
2016-07-28,104.34
2016-07-28,104.34
2016-07-29,104.21
2016-07-29,104.21
2016-07-29,104.21
2016-07-29,104.21
2016-08-01,106.05
2016-08-01,106.05
2016-08-01,106.05
2016-08-01,106.05
2016-08-02,104.48
2016-08-02,104.48
2016-08-02,104.48
2016-08-02,104.48
2016-08-03,105.79
2016-08-03,105.79
2016-08-03,105.79
2016-08-03,105.79
2016-08-04,105.87
2016-08-04,105.87
2016-08-04,105.87
2016-08-04,105.87
2016-08-05,107.48
2016-08-05,107.48
2016-08-05,107.48
2016-08-05,107.48
2016-08-08,108.37
2016-08-08,108.37
2016-08-08,108.37
2016-08-08,108.37
2016-08-09,108.81
2016-08-09,108.81
2016-08-09,108.81
2016-08-09,108.81
2016-08-10,108.0
2016-08-10,108.0
2016-08-10,108.0
2016-08-10,108.0
2016-08-11,107.93
2016-08-11,107.93
2016-08-11,107.93
2016-08-11,107.93
2016-08-12,108.18
2016-08-12,108.18
2016-08-12,108.18
2016-08-12,108.18
2016-08-15,109.48
2016-08-15,109.48
2016-08-15,109.48
2016-08-15,109.48
2016-08-16,109.38
2016-08-16,109.38
2016-08-16,109.38
2016-08-16,109.38
2016-08-17,109.22
2016-08-17,109.22
2016-08-17,109.22
2016-08-17,109.22
2016-08-18,109.08
2016-08-18,109.08
2016-08-18,109.08
2016-08-18,109.08
2016-08-19,109.36
2016-08-19,109.36
2016-08-19,109.36
2016-08-19,109.36
2016-08-22,108.51
2016-08-22,108.51
2016-08-22,108.51
2016-08-22,108.51
2016-08-23,108.85
2016-08-23,108.85
2016-08-23,108.85
2016-08-23,108.85
2016-08-24,108.03
2016-08-24,108.03
2016-08-24,108.03
2016-08-24,108.03
2016-08-25,107.57
2016-08-25,107.57
2016-08-25,107.57
2016-08-25,107.57
2016-08-26,106.94
2016-08-26,106.94
2016-08-26,106.94
2016-08-26,106.94
2016-08-29,106.82
2016-08-29,106.82
2016-08-29,106.82
2016-08-29,106.82
2016-08-30,106.0
2016-08-30,106.0
2016-08-30,106.0
2016-08-30,106.0
2016-08-31,106.1
2016-08-31,106.1
2016-08-31,106.1
2016-08-31,106.1
2016-09-01,106.73
2016-09-01,106.73
2016-09-01,106.73
2016-09-01,106.73
2016-09-02,107.73
2016-09-02,107.73
2016-09-02,107.73
2016-09-02,107.73
2016-09-06,107.7
2016-09-06,107.7
2016-09-06,107.7
2016-09-06,107.7
2016-09-07,108.36
2016-09-07,108.36
2016-09-07,108.36
2016-09-07,108.36
2016-09-08,105.52
2016-09-08,105.52
2016-09-08,105.52
2016-09-08,105.52
2016-09-09,103.13
2016-09-09,103.13
2016-09-09,103.13
2016-09-09,103.13
2016-09-12,105.44
2016-09-12,105.44
2016-09-12,105.44
2016-09-12,105.44
2016-09-13,107.95
2016-09-13,107.95
2016-09-13,107.95
2016-09-13,107.95
2016-09-14,111.77
2016-09-14,111.77
2016-09-14,111.77
2016-09-14,111.77
2016-09-15,115.57
2016-09-15,115.57
2016-09-15,115.57
2016-09-15,115.57
2016-09-16,114.92
2016-09-16,114.92
2016-09-16,114.92
2016-09-16,114.92
2016-09-19,113.58
2016-09-19,113.58
2016-09-19,113.58
2016-09-19,113.58
2016-09-20,113.57
2016-09-20,113.57
2016-09-20,113.57
2016-09-20,113.57
2016-09-21,113.55
2016-09-21,113.55
2016-09-21,113.55
2016-09-21,113.55
2016-09-22,114.62
2016-09-22,114.62
2016-09-22,114.62
2016-09-22,114.62
2016-09-23,112.71
2016-09-23,112.71
2016-09-23,112.71
2016-09-23,112.71
2016-09-26,112.88
2016-09-26,112.88
2016-09-26,112.88
2016-09-26,112.88
2016-09-27,113.09
2016-09-27,113.09
2016-09-27,113.09
2016-09-27,113.09
2016-09-28,113.95
2016-09-28,113.95
2016-09-28,113.95
2016-09-28,113.95
2016-09-29,112.18
2016-09-29,112.18
2016-09-29,112.18
2016-09-29,112.18
2016-09-30,113.05
2016-09-30,113.05
2016-09-30,113.05
2016-09-30,113.05
2016-10-03,112.52
2016-10-03,112.52
2016-10-03,112.52
2016-10-03,112.52
2016-10-04,113.0
2016-10-04,113.0
2016-10-04,113.0
2016-10-04,113.0
2016-10-05,113.05
2016-10-05,113.05
2016-10-05,113.05
2016-10-05,113.05
2016-10-06,113.89
2016-10-06,113.89
2016-10-06,113.89
2016-10-06,113.89
2016-10-07,114.06
2016-10-07,114.06
2016-10-07,114.06
2016-10-07,114.06
2016-10-10,116.05
2016-10-10,116.05
2016-10-10,116.05
2016-10-10,116.05
2016-10-11,116.3
2016-10-11,116.3
2016-10-11,116.3
2016-10-11,116.3
2016-10-12,117.34
2016-10-12,117.34
2016-10-12,117.34
2016-10-12,117.34
2016-10-13,116.98
2016-10-13,116.98
2016-10-13,116.98
2016-10-13,116.98
2016-10-14,117.63
2016-10-14,117.63
2016-10-14,117.63
2016-10-14,117.63
2016-10-17,117.55
2016-10-17,117.55
2016-10-17,117.55
2016-10-17,117.55
2016-10-18,117.47
2016-10-18,117.47
2016-10-18,117.47
2016-10-18,117.47
2016-10-19,117.12
2016-10-19,117.12
2016-10-19,117.12
2016-10-19,117.12
2016-10-20,117.06
2016-10-20,117.06
2016-10-20,117.06
2016-10-20,117.06
2016-10-21,116.6
2016-10-21,116.6
2016-10-21,116.6
2016-10-21,116.6
2016-10-24,117.65
2016-10-24,117.65
2016-10-24,117.65
2016-10-24,117.65
2016-10-25,118.25
2016-10-25,118.25
2016-10-25,118.25
2016-10-25,118.25
2016-10-26,115.59
2016-10-26,115.59
2016-10-26,115.59
2016-10-26,115.59
2016-10-27,114.48
2016-10-27,114.48
2016-10-27,114.48
2016-10-27,114.48
2016-10-28,113.72
2016-10-28,113.72
2016-10-28,113.72
2016-10-28,113.72
2016-10-31,113.54
2016-10-31,113.54
2016-10-31,113.54
2016-10-31,113.54
2016-11-01,111.49
2016-11-01,111.49
2016-11-01,111.49
2016-11-01,111.49
2016-11-02,111.59
2016-11-02,111.59
2016-11-02,111.59
2016-11-02,111.59
2016-11-03,109.83
2016-11-03,109.83
2016-11-03,109.83
2016-11-03,109.83
2016-11-04,108.84
2016-11-04,108.84
2016-11-04,108.84
2016-11-04,108.84
2016-11-07,110.41
2016-11-07,110.41
2016-11-07,110.41
2016-11-07,110.41
2016-11-08,111.06
2016-11-08,111.06
2016-11-08,111.06
2016-11-08,111.06
2016-11-09,110.88
2016-11-09,110.88
2016-11-09,110.88
2016-11-09,110.88
2016-11-10,107.79
2016-11-10,107.79
2016-11-10,107.79
2016-11-10,107.79
2016-11-11,108.43
2016-11-11,108.43
2016-11-11,108.43
2016-11-11,108.43
2016-11-14,105.71
2016-11-14,105.71
2016-11-14,105.71
2016-11-14,105.71
2016-11-15,107.11
2016-11-15,107.11
2016-11-15,107.11
2016-11-15,107.11
2016-11-16,109.99
2016-11-16,109.99
2016-11-16,109.99
2016-11-16,109.99
2016-11-17,109.95
2016-11-17,109.95
2016-11-17,109.95
2016-11-17,109.95
2016-11-18,110.06
2016-11-18,110.06
2016-11-18,110.06
2016-11-18,110.06
2016-11-21,111.73
2016-11-21,111.73
2016-11-21,111.73
2016-11-21,111.73
2016-11-22,111.8
2016-11-22,111.8
2016-11-22,111.8
2016-11-22,111.8
2016-11-23,111.23
2016-11-23,111.23
2016-11-23,111.23
2016-11-23,111.23
2016-11-25,111.79
2016-11-25,111.79
2016-11-25,111.79
2016-11-25,111.79
2016-11-28,111.57
2016-11-28,111.57
2016-11-28,111.57
2016-11-28,111.57
2016-11-29,111.46
2016-11-29,111.46
2016-11-29,111.46
2016-11-29,111.46
2016-11-30,110.52
2016-11-30,110.52
2016-11-30,110.52
2016-11-30,110.52
2016-12-01,109.49
2016-12-01,109.49
2016-12-01,109.49
2016-12-01,109.49
2016-12-02,109.9
2016-12-02,109.9
2016-12-02,109.9
2016-12-02,109.9
2016-12-05,109.11
2016-12-05,109.11
2016-12-05,109.11
2016-12-05,109.11
2016-12-06,109.95
2016-12-06,109.95
2016-12-06,109.95
2016-12-06,109.95
2016-12-07,111.03
2016-12-07,111.03
2016-12-07,111.03
2016-12-07,111.03
2016-12-08,112.12
2016-12-08,112.12
2016-12-08,112.12
2016-12-08,112.12
2016-12-09,113.95
2016-12-09,113.95
2016-12-09,113.95
2016-12-09,113.95
2016-12-12,113.3
2016-12-12,113.3
2016-12-12,113.3
2016-12-12,113.3
2016-12-13,115.19
2016-12-13,115.19
2016-12-13,115.19
2016-12-13,115.19
2016-12-14,115.19
2016-12-14,115.19
2016-12-14,115.19
2016-12-14,115.19
2016-12-15,115.82
2016-12-15,115.82
2016-12-15,115.82
2016-12-15,115.82
2016-12-16,115.97
2016-12-16,115.97
2016-12-16,115.97
2016-12-16,115.97
2016-12-19,116.64
2016-12-19,116.64
2016-12-19,116.64
2016-12-19,116.64
2016-12-20,116.95
2016-12-20,116.95
2016-12-20,116.95
2016-12-20,116.95
2016-12-21,117.06
2016-12-21,117.06
2016-12-21,117.06
2016-12-21,117.06
2016-12-22,116.29
2016-12-22,116.29
2016-12-22,116.29
2016-12-22,116.29
2016-12-23,116.52
2016-12-23,116.52
2016-12-23,116.52
2016-12-23,116.52
2016-12-27,117.26
2016-12-27,117.26
2016-12-27,117.26
2016-12-27,117.26
2016-12-28,116.76
2016-12-28,116.76
2016-12-28,116.76
2016-12-28,116.76
2016-12-29,116.73
2016-12-29,116.73
2016-12-29,116.73
2016-12-29,116.73
2016-12-30,115.82
2016-12-30,115.82
2016-12-30,115.82
2016-12-30,115.82
2017-01-03,116.15
2017-01-03,116.15
2017-01-03,116.15
2017-01-03,116.15
2017-01-04,116.02
2017-01-04,116.02
2017-01-04,116.02
2017-01-04,116.02
2017-01-05,116.61
2017-01-05,116.61
2017-01-05,116.61
2017-01-05,116.61
2017-01-06,117.91
2017-01-06,117.91
2017-01-06,117.91
2017-01-06,117.91
2017-01-09,118.99
2017-01-09,118.99
2017-01-09,118.99
2017-01-09,118.99
2017-01-10,119.11
2017-01-10,119.11
2017-01-10,119.11
2017-01-10,119.11
2017-01-11,119.75
2017-01-11,119.75
2017-01-11,119.75
2017-01-11,119.75
2017-01-12,119.25
2017-01-12,119.25
2017-01-12,119.25
2017-01-12,119.25
2017-01-13,119.04
2017-01-13,119.04
2017-01-13,119.04
2017-01-13,119.04
2017-01-17,120.0
2017-01-17,120.0
2017-01-17,120.0
2017-01-17,120.0
2017-01-18,119.99
2017-01-18,119.99
2017-01-18,119.99
2017-01-18,119.99
2017-01-19,119.78
2017-01-19,119.78
2017-01-19,119.78
2017-01-19,119.78
2017-01-20,120.0
2017-01-20,120.0
2017-01-20,120.0
2017-01-20,120.0
2017-01-23,120.08
2017-01-23,120.08
2017-01-23,120.08
2017-01-23,120.08
2017-01-24,119.97
2017-01-24,119.97
2017-01-24,119.97
2017-01-24,119.97
2017-01-25,121.88
2017-01-25,121.88
2017-01-25,121.88
2017-01-25,121.88
2017-01-26,121.94
2017-01-26,121.94
2017-01-26,121.94
2017-01-26,121.94
2017-01-27,121.95
2017-01-27,121.95
2017-01-27,121.95
2017-01-27,121.95
2017-01-30,121.63
2017-01-30,121.63
2017-01-30,121.63
2017-01-30,121.63
2017-01-31,121.35
2017-01-31,121.35
2017-01-31,121.35
2017-01-31,121.35
2017-02-01,128.75
2017-02-01,128.75
2017-02-01,128.75
2017-02-01,128.75
2017-02-02,128.53
2017-02-02,128.53
2017-02-02,128.53
2017-02-02,128.53
2017-02-03,129.08
2017-02-03,129.08
2017-02-03,129.08
2017-02-03,129.08
2017-02-06,130.29
2017-02-06,130.29
2017-02-06,130.29
2017-02-06,130.29
2017-02-07,131.53
2017-02-07,131.53
2017-02-07,131.53
2017-02-07,131.53
2017-02-08,132.04
2017-02-08,132.04
2017-02-08,132.04
2017-02-08,132.04
2017-02-09,132.42
2017-02-09,132.42
2017-02-09,132.42
2017-02-09,132.42
2017-02-10,132.12
2017-02-10,132.12
2017-02-10,132.12
2017-02-10,132.12
2017-02-13,133.29
2017-02-13,133.29
2017-02-13,133.29
2017-02-13,133.29
2017-02-14,135.02
2017-02-14,135.02
2017-02-14,135.02
2017-02-14,135.02
2017-02-15,135.51
2017-02-15,135.51
2017-02-15,135.51
2017-02-15,135.51
2017-02-16,135.345
2017-02-16,135.345
2017-02-16,135.345
2017-02-16,135.345
2017-02-17,135.72
2017-02-17,135.72
2017-02-17,135.72
2017-02-17,135.72
2017-02-21,136.7
2017-02-21,136.7
2017-02-21,136.7
2017-02-21,136.7
2017-02-22,137.11
2017-02-22,137.11
2017-02-22,137.11
2017-02-22,137.11
2017-02-23,136.53
2017-02-23,136.53
2017-02-23,136.53
2017-02-23,136.53
2017-02-24,136.66
2017-02-24,136.66
2017-02-24,136.66
2017-02-24,136.66
2017-02-27,136.93
2017-02-27,136.93
2017-02-27,136.93
2017-02-27,136.93
2017-02-28,136.99
2017-02-28,136.99
2017-02-28,136.99
2017-02-28,136.99
2017-03-01,139.79
2017-03-01,139.79
2017-03-01,139.79
2017-03-01,139.79
2017-03-02,138.96
2017-03-02,138.96
2017-03-02,138.96
2017-03-02,138.96
2017-03-03,139.78
2017-03-03,139.78
2017-03-03,139.78
2017-03-03,139.78
2017-03-06,139.34
2017-03-06,139.34
2017-03-06,139.34
2017-03-06,139.34
2017-03-07,139.52
2017-03-07,139.52
2017-03-07,139.52
2017-03-07,139.52
2017-03-08,139.0
2017-03-08,139.0
2017-03-08,139.0
2017-03-08,139.0
2017-03-09,138.68
2017-03-09,138.68
2017-03-09,138.68
2017-03-09,138.68
2017-03-10,139.14
2017-03-10,139.14
2017-03-10,139.14
2017-03-10,139.14
2017-03-13,139.2
2017-03-13,139.2
2017-03-13,139.2
2017-03-13,139.2
2017-03-14,138.99
2017-03-14,138.99
2017-03-14,138.99
2017-03-14,138.99
2017-03-15,140.46
2017-03-15,140.46
2017-03-15,140.46
2017-03-15,140.46
2017-03-16,140.69
2017-03-16,140.69
2017-03-16,140.69
2017-03-16,140.69
2017-03-17,139.99
2017-03-17,139.99
2017-03-17,139.99
2017-03-17,139.99
2017-03-20,141.46
2017-03-20,141.46
2017-03-20,141.46
2017-03-20,141.46
2017-03-21,139.84
2017-03-21,139.84
2017-03-21,139.84
2017-03-21,139.84
2017-03-22,141.42
2017-03-22,141.42
2017-03-22,141.42
2017-03-22,141.42
2017-03-23,140.92
2017-03-23,140.92
2017-03-23,140.92
2017-03-23,140.92
2017-03-24,140.64
2017-03-24,140.64
2017-03-24,140.64
2017-03-24,140.64
2017-03-27,140.88
2017-03-27,140.88
2017-03-27,140.88
2017-03-27,140.88
2017-03-28,143.8
2017-03-28,143.8
2017-03-28,143.8
2017-03-28,143.8
2017-03-29,144.12
2017-03-29,144.12
2017-03-29,144.12
2017-03-29,144.12
2017-03-30,143.93
2017-03-30,143.93
2017-03-30,143.93
2017-03-30,143.93
2017-03-31,143.66
2017-03-31,143.66
2017-03-31,143.66
2017-03-31,143.66
2017-04-03,143.7
2017-04-03,143.7
2017-04-03,143.7
2017-04-03,143.7
2017-04-04,144.77
2017-04-04,144.77
2017-04-04,144.77
2017-04-04,144.77
2017-04-05,144.02
2017-04-05,144.02
2017-04-05,144.02
2017-04-05,144.02
2017-04-06,143.66
2017-04-06,143.66
2017-04-06,143.66
2017-04-06,143.66
